Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,2.4135344722909005,2.497666487969406,2.6036920263553838,2.864072336413974,3.0547393958498574,3.269319196851216,3.586045522003821,3.7493059192959493,3.8914127062612778,4.135172880008424,4.336479625668671,4.575195500197766,4.945826107320611,5.437182139433619,6.372436151563366,7.179415527149664,8.048447045857944,9.120059741225168,9.519223740439,10.171155472924086,12.518180530391843,13.83563621054584,14.95172009145165,16.35227637202663,17.48895507909798,19.02349958802936,20.115084858193224,20.89210888142089,21.757898112933265,22.959455146611894,24.532119171330088,26.585595743196475,28.575621375392828,31.039696765759814,35.02000857039106,38.92193598476507,41.95074482266592,43.58215839051859,46.53105954181456,49.194073766883434,53.052869103924266,56.18557562616702,59.671795538857005,62.664477376478935,63.523396,71.582146,76.438705,83.07402,105.021065,97.86791,100.0,111.804184,119.00573,127.79522,133.76837,132.88321,138.70866,145.61075,146.52248,149.89598,276.16977616561445,378.8071295819657,541.7304787464814,322.53758374849485
Albania,2.3138061271043093,2.394461769523118,2.4961062843056854,2.7457275611955194,2.928516170773968,3.1342294365300183,3.4378684854712676,3.5943828886856752,3.7306177583999593,3.964305650591034,4.15729430970639,4.386146335423763,4.74146231681898,5.212515293581978,6.1091241833695165,6.882758803100498,7.715881543098233,8.743214713139897,9.125885073851075,9.750878689809635,12.000923601445644,13.2639414120159,14.333908197926785,15.676592854207188,16.766303478673336,18.23743990860362,19.283920377542014,20.02883741373619,20.858851839323734,22.010759988351325,23.518440818290134,5.1145515,16.673716,30.847166,37.807846,40.754295,45.94047,61.183647,73.813705,74.10116,74.13822,76.44214,82.38209,82.78082,84.66824,86.67198,88.726746,91.32882,94.361725,96.50083,100.0,103.42912,105.53038,107.57516,109.32419,111.39716,112.81796,115.05927,117.39274,119.049255,120.97891,123.44866,131.75084,138.02187
Algeria,2.01502711607065,2.0852677920867486,2.173787072543077,2.391175053233872,2.5503603888135546,2.7295101472043544,2.993940649806675,3.130244535788402,3.248887560116541,2.5690246,2.7385802,2.8105128,2.9132738,3.0931056,3.2384696,3.5050058,3.8355536,4.295409,5.0481334,5.6210256,6.156025,7.058181,7.519963,7.9686913,8.615462,9.518559,10.696158,11.492087,12.171448,13.303924,15.519363,19.536766,25.723993,31.007786,40.01482,51.931084,61.631332,65.16498,68.39075,70.200035,70.438126,73.41483,74.45608,77.634575,80.710304,81.82608,83.71749,86.79745,91.01458,96.236145,100.0,104.52421,113.81793,117.521835,120.94987,126.73665,134.84486,142.3842,148.46399,151.36166,155.01726,166.21889,181.61993,198.55086
Angola,1.8677681710979677,1.9328756319023181,2.0149258898101268,2.2164270745213757,2.3639790854744906,2.5300365116567867,2.7751423329576723,2.9014850793173745,3.0114576264834003,3.2000969432751245,3.3558827157545346,3.5406183876498893,3.82743925520588,4.207686219976414,4.931453663865265,5.555952882648718,6.228472554092888,7.057764245233134,7.366666322804085,7.871178420577694,9.687476778622978,10.707019616926916,11.57072633956291,12.65457845467536,13.534222948759375,14.721764881066914,15.566512800377222,16.16783039307171,16.837840947328786,17.767693000004723,2.2200815e-08,4.08015e-08,1.6300598e-07,2.4100884e-06,2.530093e-05,0.0006999377,0.029713098,0.094837286,0.1965833,0.68449503,2.9090824,7.347208,15.348129,30.423698,43.67082,53.694805,60.839012,68.2927,76.81278,87.3594,100.0,113.48247,125.14609,136.13118,146.04205,159.7057,208.72644,271.01978,324.21808,379.5976,464.13983,583.6758,708.3214,804.9655
Antigua and Barbuda,2.4001659249810867,2.4838319341265263,2.5892701979397836,2.8482082636328903,3.0378192198169844,3.251210465090488,3.5661824457700066,3.728538545083351,3.869858203741045,4.112268191919101,4.3124599011943126,4.549853530485611,4.918431217767173,5.407065632916893,6.337139280874761,7.139648804431008,8.003866764806084,9.069543806392396,9.46649683954416,10.114817527601023,12.44884243285289,13.75900073698391,14.868902638583064,16.26170124960251,17.39208390279686,18.918128582493487,20.00366757095124,20.7763876645957,21.637381296776603,22.832282916068326,24.396235967871792,26.43833835013544,28.417341246954614,30.867768144288146,34.82603303503483,38.70634770600808,41.718379997020236,43.34075717872881,79.56938,80.461586,81.082565,82.21999,84.19957,85.87811,87.621506,89.460464,91.05982,92.34928,97.27501,96.739845,100.0,103.45675,106.95036,108.083496,109.261,110.31973,109.77979,112.45017,113.80762,115.436615,116.15923,118.555595,127.48411,133.94391
Armenia,2.2166401976222607,2.293908788562645,2.391284845569124,2.6304235314141104,2.8055361196784276,3.002610666554867,3.2934987031827623,3.4434404435938744,3.5739542688400894,3.7978286762333413,3.982712973352774,4.20195459155493,4.5423494405407965,4.993621027762854,5.852577741277913,6.593724363840469,7.391860963704752,8.376052324592438,8.742652833621502,9.341400479831957,11.496957049227696,12.706935714435316,13.731970335956932,15.018270318906021,16.062219656610765,17.471577211926355,18.47411180041345,19.187746805083492,19.982905621032447,21.086440561662368,22.530807872163575,24.41676341426696,26.24444429526057,0.4620303,16.049822,44.289696,52.563534,59.901806,65.09678,65.51877,65.00059,67.04545,67.756165,70.95531,75.89469,76.3796,78.588776,82.05246,89.39612,92.441635,100.0,107.65001,110.40372,116.79572,120.27776,124.76616,123.01493,124.20763,127.33795,129.17601,130.74089,140.13441,152.2433,155.25836
Aruba,3.408238309143809,3.527044136097173,3.6767665891316588,4.044458933233993,4.313706703970972,4.616722511922995,5.063983078238759,5.2945289216088405,5.495202995621484,5.839425451089458,6.123697903099262,6.460797123314073,6.984177853210298,7.6780392715172345,8.998744896200293,10.138309320963426,11.365499795315182,12.878762391249309,13.442436144150093,14.363052249331773,31.98246,19.53779649950492,21.113858446327036,23.091634038252483,39.857536,41.464695,41.91001,43.436813,44.792854,46.58082,49.299595,52.03846,54.054108,56.87333,60.46265,62.495037,64.51068,66.44597,67.68817,69.23171,72.031456,74.10856,76.56544,79.36495,81.37219,84.13705,87.17274,91.87358,100.10177,97.964165,100.0,104.3163,104.970856,102.48087,102.91277,103.40137,102.43849,101.38514,105.06141,109.534355,389.98921364561727,534.9270895611422,764.996975221175,455.46685232420595
Australia,7.960458,8.14256,8.116546,8.168574,8.402705,8.688866,8.975026,9.287201,9.521332,9.833507,10.171696,10.796046,11.44641,12.486993,14.412071,16.597294,18.808533,21.123829,22.814775,24.89594,27.419355,30.020811,33.42872,36.7846,38.241417,40.816856,44.510925,48.30905,51.795006,55.69719,59.78148,61.680542,62.30489,63.397503,64.6462,67.63788,69.40687,69.56296,70.16129,71.20187,74.37565,77.65349,79.96878,82.15401,84.07909,86.342354,89.41207,91.49323,95.473465,97.16441,100.0,103.30385,105.12487,107.70031,110.379814,112.04475,113.47555,115.68678,117.898026,119.79709,120.81165,124.27159,132.46619,139.88034
Austria,17.824167,18.455542,19.264227,19.786049,20.551485,21.564861,22.00798,22.882727,23.515402,24.239773,25.299734,26.489899,28.17337,30.29513,33.179768,35.981884,38.615288,40.73705,42.19312,43.75739,46.526497,49.691715,52.39297,54.14246,57.20865,59.033325,60.040108,60.88184,62.048164,63.641777,65.71769,67.91097,70.64157,73.207115,75.369225,77.06003,78.494095,79.51921,80.252754,80.70938,82.601906,84.79086,86.325874,87.49607,89.299545,91.35267,92.669556,94.679146,97.72398,98.218765,100.0,103.28658,105.85395,107.97119,109.70501,110.68858,111.67547,113.99974,116.277885,118.05798,119.68944,123.00085,133.51357,143.94649
Azerbaijan,1.921770908826848,1.9887608201325067,2.073183395240569,2.2805105790230105,2.432328757840088,2.60318739852685,2.8553799587433866,2.9853756499927093,3.0985278308594704,3.292621271834107,3.452911274733158,3.642988204817246,3.9381019174519123,4.329342953878906,5.0740366690544425,5.716592019238843,6.40855623631587,7.261825218851472,7.579658575013151,8.09875761934614,9.967570569611537,11.01659142630783,11.9052704813451,13.020459987475892,13.925537622376707,15.14741492697767,16.01658702324925,16.635290497528256,17.324673051371263,18.281409894838877,19.533639770467392,0.04302178,0.03844852,0.47214785,8.320265,42.579758,51.008335,52.88256,52.473938,48.000446,48.866856,49.62292,50.998055,52.137283,55.635136,61.020344,66.102684,77.14167,93.225,94.583336,100.0,107.85833,109.00833,111.64167,113.175,117.73333,132.38333,149.50833,152.9,156.89157,161.22147,171.94318,195.7612,212.95966
