date,value
2007-01-01,322100
2007-04-01,310100
2007-07-01,301200
2007-10-01,305800
2008-01-01,290400
2008-04-01,304200
2008-07-01,285100
2008-10-01,276600
2009-01-01,257000
2009-04-01,273400
2009-07-01,274100
2009-10-01,272900
2010-01-01,275300
2010-04-01,268800
2010-07-01,266000
2010-10-01,278000
2011-01-01,268100
2011-04-01,267600
2011-07-01,263000
2011-10-01,259700
2012-01-01,278000
2012-04-01,282700
2012-07-01,294500
2012-10-01,297700
2013-01-01,307400
2013-04-01,320400
2013-07-01,324400
2013-10-01,334400
2014-01-01,331400
2014-04-01,340600
2014-07-01,340400
2014-10-01,369400
2015-01-01,348000
2015-04-01,339700
2015-07-01,347400
2015-10-01,366700
